ID;Buts;PD;B+PD;B-PénM;PénM;PénT;CJ;CR;ID équipe;equipe
1;0;0;0;0;0;0;0;0;8;Marseille
2;0;0;0;0;0;0;2;0;16;Saint-Étienne
3;6;1;7;3;3;4;4;0;1;Angers
4;0;0;0;0;0;0;2;0;12;Nice
5;4;2;6;4;0;0;2;0;12;Nice
6;8;2;10;7;1;1;3;0;11;Nantes
7;1;1;2;1;0;0;1;0;7;Lyon
8;7;2;9;6;1;2;4;0;18;Toulouse
9;3;1;4;3;0;0;2;0;10;Montpellier
10;0;0;0;0;0;0;0;0;14;Reims
11;0;0;0;0;0;0;1;0;7;Lyon
12;0;0;0;0;0;0;3;0;14;Reims
13;1;0;1;1;0;0;1;0;5;Lens
14;1;1;2;1;0;0;4;0;5;Lens
15;0;0;0;0;0;0;0;0;15;Rennes
16;2;0;2;2;0;0;7;0;1;Angers
17;0;0;0;0;0;0;0;0;16;Saint-Étienne
18;13;2;15;13;0;1;5;0;3;Brest
19;0;0;0;0;0;0;2;0;18;Toulouse
20;1;3;4;1;0;0;5;0;14;Reims
21;5;10;15;4;1;1;2;0;9;Monaco
22;0;0;0;0;0;0;1;0;7;Lyon
23;0;1;1;0;0;0;7;0;2;Auxerre
24;2;1;3;2;0;1;0;0;6;Lille
25;3;4;7;3;0;0;2;0;12;Nice
26;1;3;4;1;0;0;3;0;1;Angers
27;1;4;5;1;0;0;3;0;7;Lyon
28;0;0;0;0;0;0;2;0;3;Brest
29;1;0;1;1;0;0;5;0;11;Nantes
30;1;3;4;1;0;0;2;0;8;Marseille
31;2;0;2;2;0;0;0;0;17;Strasbourg
32;0;0;0;0;0;0;2;0;16;Saint-Étienne
33;0;3;3;0;0;0;12;0;6;Lille
34;0;0;0;0;0;0;0;0;5;Lens
35;0;1;1;0;0;0;2;0;16;Saint-Étienne
36;0;1;1;0;0;0;3;0;1;Angers
37;5;3;8;5;0;0;3;0;6;Lille
38;2;4;6;2;0;0;0;0;13;Paris S-G
39;3;4;7;3;0;0;8;0;15;Rennes
40;0;0;0;0;0;0;0;0;11;Nantes
41;1;0;1;1;0;0;7;0;14;Reims
42;2;0;2;2;0;0;0;0;2;Auxerre
43;4;1;5;4;0;0;2;0;4;Le Havre
44;6;1;7;3;3;3;4;0;5;Lens
45;4;2;6;4;0;0;2;0;18;Toulouse
46;0;0;0;0;0;0;2;0;5;Lens
47;2;1;3;2;0;0;1;0;2;Auxerre
48;3;2;5;3;0;0;3;1;6;Lille
